drug_name,num_prescriber,total_cost
EASY TOUCH INSULIN SAFETY,37,27937
ALOXI,58,1817747
CLOBETASOL EMOLLIENT,656,1965178
CLOBEX,21,247545
NOVOFINE,3014,2496700
ICLUSIG,59,13371226
NITRO-DUR,388,792092
EXJADE,428,52517270
OGESTREL,72,35392
TRIZIVIR,73,1614043
MINIVELLE,680,1624318
BUSPIRONE HCL,73420,46687171
TETRABENAZINE,28,3321849
PRENATAL VITAMIN PLUS LOW IRON,105,16328
IBUPROFEN,136161,38332301
FLUOCINOLONE ACETONIDE,3107,9184081
ANDRODERM,587,3443664
CHLORHEXIDINE GLUCONATE,33134,6565621
CRESTOR,147287,2704097429
MEGACE,3,4765
MONOJECT INSULIN SAFETY SYRNG,493,447084
LEVONEST,62,14278
PRIMAQUINE,3,3514
STREPTOMYCIN SULFATE,6,18043
CALCIPOTRIENE,2676,24906382
NOVOLIN R,10562,38901449
INDOCIN,8,60906
CELECOXIB,79393,387750414
UREA,4,7272
ZEMPLAR,69,349467
DDAVP,40,649336
GRISEOFULVIN ULTRAMICROSIZE,96,537023
JANTOVEN,23222,8372221
ERYPED 200,121,1803771
TRIGLIDE,16,46301
BETASERON,1458,178421696
HALCION,23,47233
MESNEX,1,2104
TWINRIX,132,649458
BIMATOPROST,37,183266
FURADANTIN,1,14098
KUVAN,52,15307576
MECLOFENAMATE SODIUM,24,134729
METHYLPREDNISOLONE,77492,50165010
BOTOX,352,10526586
CRESEMBA,1,54549
IMIQUIMOD,2314,7098813
OLANZAPINE,54130,97288727
AZASITE,892,4327292
VIAGRA,2157,23210469
RABEPRAZOLE SODIUM,7023,8703755
MIRAPEX,147,782928
ISTALOL,897,4759697
LACTULOSE,36170,20665252
FLAREX,29,32214
DRONABINOL,3129,24938697
METHYLPHENIDATE HCL CD,260,697437
X-VIATE,32,21497
HUMATROPE,127,4126492
AMARYL,176,333549
PRENATAL PLUS,1378,346141
H.P. ACTHAR,300,266197666
POLYMYXIN B SUL-TRIMETHOPRIM,2976,1369083
NATAZIA,12,18575
AMOXAPINE,417,315496
SULFATRIM,16,15517
LOTREL,451,1415155
VICTOZA 2-PAK,9651,100364038
ZENCHENT,57,19388
AVELOX ABC PACK,1,283
SUMAVEL DOSEPRO,79,1677067
ACIPHEX,954,7373908
CLINDAMYCIN PHOS-BENZOYL PEROX,19,41941
ITRACONAZOLE,491,4286351
TOLBUTAMIDE,24,20080
CAFERGOT,13,71599
SEVELAMER CARBONATE,27,153596
TAMOXIFEN CITRATE,10636,12714601
DIFLUNISAL,983,1884714
ENJUVIA,88,105228
K EFFERVESCENT,59,20838
FLUOCINONIDE-E,400,974787
DEPO-TESTOSTERONE,568,487680
INSULIN PEN NEEDLE,1,64
NAFTIFINE HCL,5,16459
HYDROXYZINE HCL,35048,16187052
RILUZOLE,591,5366341
PRIMAXIN,8,21313
OXACILLIN SODIUM,52,484500
KETOPROFEN,575,5127191
DITROPAN XL,64,195981
OSMOPREP,149,575382
ALPRAZOLAM,173281,99232853
ADDERALL XR,694,3615626
COLCHICINE,18413,73013982
ADVAIR HFA,9123,85435932
LEVULAN,2,9394
METOLAZONE,27989,26731915
KLONOPIN,233,603707
METHYLERGONOVINE MALEATE,25,932370
RAMIPRIL,67728,47035005
MULTIVITAMINS W-FLUORIDE-IRON,1,231
REBIF REBIDOSE,655,70367178
DESONIDE,7958,36505942
VIRAMUNE XR,169,1965598
LEUKERAN,300,2195619
"PANCRELIPASE 5,000",289,446807
VIDAZA,2,153736
CEFAZOLIN SODIUM,644,765419
SYNERCID,2,50457
CLINISOL,355,2413954
KLOR-CON SPRINKLE,5,2418
LEVALBUTEROL HCL,1071,2951912
DEPAKENE,100,972798
RISPERIDONE,72665,67461583
VITAFOL ULTRA,2,2265
LOESTRIN FE,4,5104
CARTIA XT,50042,44727054
DONEPEZIL HCL,124139,168821714
TENORMIN,372,1524750
ETODOLAC,11852,18975775
IBRANCE,883,166944515
BACTRIM DS,1,2069
ATACAND HCT,150,257411
OTREXUP,98,1080090
BLINCYTO,1,206824
LIVALO,7543,36111226
TYGACIL,138,2895263
MINOCIN,3,35310
UROGESIC-BLUE,4,6525
JAKAFI,1366,262592900
RELISTOR,389,7330010
LEENA,11,3367
POTASSIUM ACETATE,7,8365
BUPROBAN,5,2062
ARIMIDEX,148,1088810
DARAPRIM,46,4853473
ONGLYZA,18148,171745870
TIMOPTIC-XE,35,89114
EVZIO,58,897363
TYPHIM VI,96,376623
DIABETA,9,18667
PROCHLORPERAZINE,143,249647
KADIAN,287,6534452
SIMPONI ARIA,15,1453020
PONSTEL,1,17243
METOZOLV ODT,1,16408
LOW-OGESTREL,330,86160
CARBIDOPA-LEVODOPA ER,13285,27308307
TRELSTAR DEPOT,1,9954
NAFCILLIN SODIUM,104,1044518
FENTANYL,63500,295767483
LOPID,3,6984
CHLORPROMAZINE HCL,7903,86076582
CARIMUNE NF NANOFILTERED,32,3978674
MOVIPREP,3770,16348236
VICODIN HP,278,857108
HYDROCODONE-HOMATROPINE MBR,6,2294
SOLODYN,15,188789
SANDOSTATIN LAR,50,3966486
ZAVESCA,10,3125058
TRUEPLUS INSULIN SYRINGE,1295,448309
HYDROCODONE BT-HOMATROPINE MBR,1,456
DEXTROSE 5%-0.225% NACL,2,869
FERRIPROX,32,5430502
ROCALTROL,194,328322
ZARAH,87,57542
EMLA,2,2586
SOLIRIS,25,11491590
FLEXBUMIN,1,4808
GLUCOTROL,35,45246
OLANZAPINE-FLUOXETINE HCL,629,3772844
PREVIDENT 5000,166,36421
ADAPALENE,80,221295
CLEOCIN T,1,1760
CLEOCIN,1,3502
NORTHERA,180,24718512
HEPARIN SODIUM,2578,4607592
METHADONE HCL,27766,31888021
ALCOHOL PREP PADS,8882,8656163
FLURAZEPAM HCL,1338,433264
CARDIZEM LA,320,634109
CHLORZOXAZONE,1619,918938
TRILIPIX,215,621399
PRAZOSIN HCL,13441,9763032
NICOTROL NS,219,1399037
VERELAN,19,62946
TETRACYCLINE HCL,145,658200
FORTAZ,1,221
FOSRENOL,2108,56932928
ACTIVELLA,58,151748
INVOKANA,23021,316282282
GEODON,639,6796550
FORTEO,5180,323081494
KETOROLAC TROMETHAMINE,10464,22913486
AVALIDE,185,453636
PENNSAID,316,13318306
LYNPARZA,169,15561417
CLOCORTOLONE PIVALATE,15,156175
GATTEX,73,43866379
ANASTROZOLE,18290,20811970
CARISOPRODOL-ASPIRIN-CODEINE,3,9405
GOLYTELY,226,96895
LIORESAL INTRATHECAL,6,111950
TERAZOSIN HCL,62473,19244690
LIALDA,6880,116572654
HUMALOG,30944,357889502
PIMOZIDE,1,924
INCONTROL PEN NEEDLE,404,212913
DERMASILKRX SDS,3,219952
CLODERM,4,23475
OXSORALEN-ULTRA,2,123876
PROMETHAZINE-CODEINE,40,6352
PATANASE,151,697804
LUMIZYME,15,10829915
PEGASYS PROCLICK,3,158021
UNASYN,6,8841
VIRT-PN DHA,5,3397
MACROBID,2,7945
AMTURNIDE,2,3880
AMILORIDE HCL,2238,1561810
FENOPROFEN CALCIUM,42,108357
EVAMIST,40,75668
PREQUE 10,1,824
RECTIV,14,96836
ATELVIA,2005,13611734
TESTOSTERONE,1214,7668880
TOVIAZ,14576,94443165
QUINIDINE SULFATE,139,32590
CHERATUSSIN AC,1,297
GLUMETZA,979,54602967
ZITHROMAX,8,49066
MIDAZOLAM HCL,232,73412
ACARBOSE,5026,7181817
DURAGESIC,856,17742752
NOVOFINE 32,6226,6812430
PULMICORT FLEXHALER,2309,9259381
REYATAZ,4130,222061401
BD ULTRA-FINE PEN NEEDLE,77142,126524021
PROVIGIL,268,7109830
SYEDA,80,47796
PEGINTRON,2,53798
CARISOPRODOL,27038,14195770
ARMOUR THYROID,5920,3432855
EFFEXOR XR,1588,9472952
FOLIVANE-OB,2,594
BIVIGAM,14,3777022
TESTIM,519,4512784
ZORTRESS,109,4967882
MOBIC,73,288314
CALCITONIN-SALMON,9174,12548270
POTASSIUM PHOSPHATE,6,11041
VEXOL,50,96959
CHENODAL,13,9441616
CEFPODOXIME PROXETIL,2238,4342486
CANDESARTAN CILEXETIL,4655,8595064
PEN NEEDLES,1394,702436
SIVEXTRO,8,513284
PROVENTIL HFA,6761,9986383
CLOZAPINE,17012,94326193
NEOMYCIN-POLYMYXIN-HYDROCORT,4019,2415539
EVISTA,1559,5633816
CAPTOPRIL,10468,20262011
NOVOLIN 70-30,18707,100073925
VANISHPOINT,41,68851
SEMPREX-D,39,134346
SOLARAZE,21,794336
NIFEDICAL XL,25769,17161526
XEOMIN,6,220717
DALIRESP,10319,72993240
SINGULAIR,1171,3546980
XIAFLEX,2,135834
DOXYCYCLINE IR-DR,18,154145
SYMLINPEN 60,69,783353
ADVOCATE PEN NEEDLES,54,40542
CLINDAMYCIN PALMITATE HCL,4,10349
JANUVIA,99050,1910493980
OLEPTRO ER,32,51429
MAXITROL,1,1713
ATIVAN,371,10054129
HALAVEN,2,97187
TRILYTE WITH FLAVOR PACKETS,570,239156
PRAMIPEXOLE DIHYDROCHLORIDE,48331,37122907
CYCLAFEM,338,91628
CHLORDIAZEPOXIDE-AMITRIPTYLINE,589,645499
ALCOHOL SWAB,242,16646
PROTONIX IV,62,89848
LOPRESSOR,6,20925
ARCALYST,2,447516
DYSPORT,4,105380
CARBINOXAMINE MALEATE,126,87731
DEPO-ESTRADIOL,63,82157
TEGRETOL XR,3994,13822976
AZOR,9421,61620384
ENALAPRIL-HYDROCHLOROTHIAZIDE,6652,1600904
TIMOPTIC,27,57231
NEPHPLEX RX,3,851
VPRIV,12,6579192
VIIBRYD,8857,41352427
LORAZEPAM INTENSOL,608,399750
JANUMET XR,7972,71227631
PULMICORT,172,1923905
FOSAMAX PLUS D,208,414611
PRENATE AM,1,1329
ALCOHOL SWABS,1190,65122
COLISTIMETHATE,97,1102077
XENICAL,31,208247
STALEVO 100,76,717420
NITROSTAT,52095,32373089
MYORISAN,4,14912
TOBI PODHALER,18,2174841
ZAFIRLUKAST,3491,5641478
AFREZZA,34,224617
ULTIMATECARE ONE,1,401
ZYPREXA,1000,13083282
PROPARACAINE HCL,5,4589
QUDEXY XR,14,152881
AROMASIN,75,730148
NYSTATIN-TRIAMCINOLONE,10277,30924336
NOVOTWIST,749,683599
VITAMEDMD ONE RX,2,2417
HORIZANT,530,4235376
POMALYST,915,228198880
FLECTOR,1345,12309326
TILIA FE,34,18028
TRICARE,6,2175
XARELTO,80774,1297283899
ZATEAN-PN,1,522
OPIUM TINCTURE,202,1858495
FLONASE,5,6437
PNV-DHA,7,4214
ZOMIG,179,1822420
METADATE ER,54,75473
CORDRAN,114,799878
KALBITOR,18,13776933
CELESTONE,1,1986
CLINPRO 5000,7,998
PATADAY,18097,124535271
NEOMYCIN-BACITRACIN-POLY-HC,24,15822
GAMMAGARD LIQUID,1011,257127357
HYDROCORTISONE BUTYRATE,438,1170487
PROSOL,2055,31652061
PLEGRIDY,38,2633181
DETROL,21,59587
TREZIX,22,112382
GAVILYTE-G,4597,2829297
ZERIT,5,25949
DYAZIDE,202,140713
PRILOSEC,178,919236
TETANUS DIPHTHERIA TOXOIDS,128,96709
TRAVASOL,97,435631
DENAVIR,117,1422768
BUTORPHANOL TARTRATE,1490,2500331
HALDOL DECANOATE 50,6,11014
DILAUDID,240,1890616
ANADROL-50,10,670120
BROVANA,658,5536312
ZOLMITRIPTAN,715,1261232
LITHIUM,241,139163
PROMETHAZINE HCL,39082,11703812
TIROSINT,1048,2792927
SODIUM SULFACETAMIDE-SULFUR,9,24281
JOLESSA,2,1970
GILDESS,196,54686
EPIFOAM,1,944
SOOLANTRA,34,160315
BACTROBAN,17,58499
METHYLPHENIDATE SR,10,9056
VYTORIN,23005,164827861
DIVIGEL,191,397411
HUMALOG MIX 50-50,641,9949565
CHLORTHALIDONE,39000,43098380
VGO 40,491,3109470
SPS,2009,2585420
ATRALIN,3,15528
EDARBYCLOR,1542,5779584
RIMANTADINE HCL,35,152248
TRELSTAR,92,6737759
PERPHENAZINE,8479,21280327
XOLAIR,668,38839465
PRENATE DHA,3,4674
IRINOTECAN HCL,29,353133
PROTRIPTYLINE HCL,298,710470
ULTICARE,3820,2928965
PLAQUENIL,276,1678028
SAPHRIS,4467,71048007
FIORICET,78,408015
MIRTAZAPINE,107330,88908724
PORTIA,129,32866
ISRADIPINE,519,750610
IMIPENEM-CILASTATIN SODIUM,265,855656
EPIVIR,270,643194
WEBCOL,50,3500
KALETRA,2292,54725954
TRINATAL GT,4,501
ADALAT CC,66,60244
NORITATE,7,124022
RESCRIPTOR,17,78310
SAMSCA,143,14044484
GENVOYA,10,405775
TRIBENZOR,5705,37822796
EFFIENT,12194,133437406
ESZOPICLONE,15325,16753648
ABELCET,12,262920
MINI ULTRA-THIN II,24,9224
NEUPOGEN,626,35872521
ORKAMBI,47,16351594
AGGRENOX,14086,109918277
MOXEZA,140,1011393
VISTARIL,6,22156
DEXTROAMPHETAMINE SULFATE ER,1666,7076396
NAFTIN,462,4451692
PHOSLO,1,1409
TYLENOL-CODEINE NO.4,34,102947
HYDROXYUREA,9463,8936958
SODIUM THIOSULFATE,1,2954
CYTRA-K,2,3754
NOXAFIL,177,18884674
ZANTAC,83,411811
EASY COMFORT INSULIN SYRINGE,241,185263
ADVAIR DISKUS,126943,2038325949
UCERIS,284,6445389
MARINOL,21,617390
DEXTROSE 5%-0.45% NACL-KCL,38,19686
ATROVENT,10,17013
TOPIRAMATE ER,52,404649
CLORPRES,10,12245
ESTARYLLA,1,302
IMIPRAMINE PAMOATE,247,1024453
SIMBRINZA,5359,22980102
DOCETAXEL,47,1510514
GLASSIA,75,12039601
AMIKACIN SULFATE,370,567336
CYPROHEPTADINE HCL,3449,2541350
VYVANSE,4247,21758607
PRENATE MINI,2,3124
JADENU,96,15674665
ERTACZO,6,51523
ONMEL,2,36455
DUAVEE,90,220359
EYLEA,66,4779046
VANDAZOLE,17,18407
ZIDOVUDINE,650,439255
MEPROBAMATE,369,1181101
ZOVIA 1-35E,84,23201
PHENELZINE SULFATE,458,495452
REMERON,160,348165
PAREGORIC,26,97598
XTANDI,2781,604956474
VIOKACE,19,275712
AMBIEN CR,787,3881900
NEO-POLYCIN HC,1,750
PREPLUS,267,55041
PRED MILD,148,490972
DENTA 5000 PLUS,640,81883
METRONIDAZOLE,44156,54314911
BANZEL,856,39001251
BRISDELLE,126,287673
OXYCODONE-ACETAMINOPHEN,172189,488790835
K-PHOS NEUTRAL,19,10560
TESTOSTERONE ENANTHATE,130,165777
ELMIRON,2908,48564509
HEPARIN SODIUM-D5W,1,975
SERTRALINE HCL,189218,103672398
ABILIFY,34167,1291257874
KEPPRA,2517,61502707
ETODOLAC ER,1428,4160246
DASETTA,221,56606
RELION PEN NEEDLES,108,29892
GAVILYTE-C,2205,2124611
GLYBURIDE,24451,11481914
AMIODARONE HCL,55408,44007894
TRADJENTA,30517,394874198
STRIANT,4,21446
MELOXICAM,148169,51139919
ACTHIB,1,164
HALOG,37,571423
REQUIP XL,136,872417
DEXTROSE 5%-0.45% NACL,854,302015
ROBINUL FORTE,1,3904
PROGLYCEM,34,420270
LANOXIN,1362,2332472
JENTADUETO,2754,26648871
TIAGABINE HCL,898,5993683
METHYLDOPA-HYDROCHLOROTHIAZIDE,81,65710
ARIPIPRAZOLE,28540,637809212
OFLOXACIN,11019,16674455
HEPSERA,41,599619
BELSOMRA,584,2450096
MYZILRA,59,14839
DIFLORASONE DIACETATE,231,1837590
PRODIGY INSULIN SYRINGE,12,3221
AFEDITAB CR,1256,591986
HYDREA,21,21606
LEVSIN-SL,1,784
GANCICLOVIR SODIUM,11,162901
ESGIC,15,34687
GENGRAF,285,1106269
BACTROBAN NASAL,40,97291
OMECLAMOX-PAK,1,16728
SIMCOR,549,2016407
PHENYTOIN SODIUM,4,11620
METHYLPHENIDATE LA,443,1086699
EXTINA,2,14410
MILRINONE LACTATE,57,1548292
MULTAQ,11839,193692459
INVIRASE,230,3934041
VORICONAZOLE,440,9616504
WELLBUTRIN,38,110467
DIFICID,21,1063450
TOBRAMYCIN-DEXAMETHASONE,9416,27591844
PARAFON FORTE DSC,1,2694
ZOMETA,3,40727
METHIMAZOLE,14082,4967569
ELESTAT,7,19674
ULORIC,17865,134179789
ZORVOLEX,282,1144145
CONSTULOSE,540,265170
EPIDUO,6,19355
INTELENCE,2584,93122981
TOFRANIL-PM,9,135643
CATAPRES-TTS 1,48,143163
DISKETS,1,100
SRONYX,59,12723
GENOTROPIN,151,4476711
APOKYN,71,24930246
OXALIPLATIN,46,1453891
REMICADE,222,33750236
MINOXIDIL,7899,2826940
CYCLOSPORINE,277,1454359
AMIFOSTINE,1,38140
NULYTELY WITH FLAVOR PACKS,18,20405
NUCYNTA,2261,21676413
GILDESS FE,490,120369
BENZACLIN,3,17842
PENLAC,3,11415
METROCREAM,1,6673
HUMULIN R,11012,35921687
PHENADOZ,149,370373
SALAGEN,11,27122
VIRT-PN PLUS,2,1334
ALCOHOL WIPES,44,7256
ENTACAPONE,5418,40011968
LEUCOVORIN CALCIUM,1704,2212664
ALBUTEIN,4,23921
ADRUCIL,5,4497
TANZEUM,883,6945342
BSS,3,618
TRACLEER,1417,310256814
IPRATROPIUM-ALBUTEROL,16516,16911062
PULMOZYME,16,843903
CAMBIA,130,1216263
SYLATRON,17,1760902
EGRIFTA,102,7223718
NOVOLIN N,11021,44329413
FELBAMATE,865,10542267
METHENAMINE HIPPURATE,6859,19844173
NEURONTIN,809,5793582
BUPHENYL,10,1439668
VICOPROFEN,5,17233
PRAMIPEXOLE ER,128,1065430
PERSANTINE,4,6009
APIDRA SOLOSTAR,1181,11904506
TWYNSTA,31,72049
ADAGEN,1,1193561
STIVARGA,132,19319122
BISOPROLOL FUMARATE,15628,13063261
COLCRYS,16309,81647185
TIVICAY,2963,194038844
CEPHALEXIN,134305,25803060
XOPENEX HFA,6688,8855237
NORCO,436,2406437
CANTIL,10,28514
LUZU,3,51944
ULTRACET,62,226128
XENAZINE,741,160528433
ULTRAM,193,828913
PROCTOSOL-HC,5023,5670501
ARAVA,17,285247
VERAPAMIL HCL,12236,6136280
NEVIRAPINE ER,721,10111341
POLYETHYLENE GLYCOL 3350,79423,69070270
ESOMEPRAZOLE MAGNESIUM,26843,142034908
AMPHOTERICIN B,28,110219
NUEDEXTA,6870,115669467
DUTOPROL,28,50477
CEFACLOR,262,345874
DAKLINZA,53,20571755
ESTROPIPATE,1052,294287
RENACIDIN,237,311703
RAGWITEK,2,6018
EXTAVIA,162,9958264
SEROSTIM,193,68939941
VANCOMYCIN-D5W,29,13609
OMNITROPE,125,2705067
BUDESONIDE,5890,42933027
NEPHROCAPS,1,1368
RYTHMOL SR,144,1203330
FLUOCINONIDE,17144,55958723
BALZIVA,86,28210
TOBRAMYCIN,3299,1209861
EASY COMFORT PEN NEEDLES,905,970343
CASODEX,21,142767
MEXILETINE HCL,1484,3001291
REPREXAIN,1,4762
ZOFRAN,15,423997
OXYCODONE HCL-ASPIRIN,295,344965
DYMISTA,2919,12231992
TRANXENE T-TAB,19,119248
BARACLUDE,527,14064388
URSO FORTE,21,113917
PATANOL,8991,58779745
VALPROIC ACID,11767,6796856
LEVOCARNITINE,1422,2205740
AMBIEN,818,4858836
ZARONTIN,50,161173
COMBIVENT RESPIMAT,41597,342351727
FELODIPINE ER,19583,19378836
SUPREP,6391,36225036
CARBAMAZEPINE ER,13631,45345015
